size,method,time_ms
256,cpu_non_pow2,0.00713
256,cpu_pow2,0.00878
256,radixsort_non_pow2,6.19346
256,radixsort_pow2,4.945831
512,cpu_non_pow2,0.01636
512,cpu_pow2,0.0186
512,radixsort_non_pow2,5.848578
512,radixsort_pow2,4.871586
1024,cpu_non_pow2,0.039029999999999995
1024,cpu_pow2,0.04004
1024,radixsort_non_pow2,9.699127
1024,radixsort_pow2,8.704512
2048,cpu_non_pow2,0.08917
2048,cpu_pow2,0.09833
2048,radixsort_non_pow2,9.690515
2048,radixsort_pow2,8.518358000000001
4096,cpu_non_pow2,0.17701
4096,cpu_pow2,0.18516
4096,radixsort_non_pow2,9.910680000000001
4096,radixsort_pow2,8.647372
8192,cpu_non_pow2,0.41058000000000006
8192,cpu_pow2,0.41955
8192,radixsort_non_pow2,9.76272
8192,radixsort_pow2,8.769546
16384,cpu_non_pow2,0.7470100000000001
16384,cpu_pow2,0.84139
16384,radixsort_non_pow2,9.737833
16384,radixsort_pow2,8.49664
32768,cpu_non_pow2,1.53005
32768,cpu_pow2,1.72796
32768,radixsort_non_pow2,9.707401
32768,radixsort_pow2,8.607403999999999
65536,cpu_non_pow2,3.3447699999999996
65536,cpu_pow2,3.4475899999999995
65536,radixsort_non_pow2,9.447094
65536,radixsort_pow2,8.248005000000001
131072,cpu_non_pow2,6.893680000000001
131072,cpu_pow2,6.973090000000001
131072,radixsort_non_pow2,10.297345
131072,radixsort_pow2,10.213548
262144,cpu_non_pow2,13.681030000000002
262144,cpu_pow2,13.77611
262144,radixsort_non_pow2,40.68352
262144,radixsort_pow2,39.84491
524288,cpu_non_pow2,26.028609999999997
524288,cpu_pow2,26.13623
524288,radixsort_non_pow2,47.05912
524288,radixsort_pow2,46.81048
1048576,cpu_non_pow2,50.85056
1048576,cpu_pow2,50.66982
1048576,radixsort_non_pow2,50.808980000000005
1048576,radixsort_pow2,50.13673
2097152,cpu_non_pow2,100.26164
2097152,cpu_pow2,100.08637
2097152,radixsort_non_pow2,57.56735
2097152,radixsort_pow2,57.35887
4194304,cpu_non_pow2,194.8478
4194304,cpu_pow2,196.8305
4194304,radixsort_non_pow2,73.98111
4194304,radixsort_pow2,73.63226
8388608,cpu_non_pow2,387.674
8388608,cpu_pow2,386.8904
8388608,radixsort_non_pow2,105.9558
8388608,radixsort_pow2,105.34649999999999
16777216,cpu_non_pow2,762.4925000000001
16777216,cpu_pow2,765.2077
16777216,radixsort_non_pow2,161.2561
16777216,radixsort_pow2,167.52849999999998
33554432,cpu_non_pow2,1513.867
33554432,cpu_pow2,1525.583
33554432,radixsort_non_pow2,284.3737
33554432,radixsort_pow2,288.5283
67108864,cpu_non_pow2,3025.397
67108864,cpu_pow2,3030.126
67108864,radixsort_non_pow2,517.5803
67108864,radixsort_pow2,522.829
134217728,cpu_non_pow2,6076.158
134217728,cpu_pow2,6032.312
134217728,radixsort_non_pow2,1044.7199999999998
134217728,radixsort_pow2,1050.431
